藍方勝,守衛放置數,守衛破壞數,首殺,擊殺數,死亡數,助攻數,菁英野怪數,小龍擊殺數,預示者擊殺數,推塔數,總經濟,平均等級,總經驗,總小兵擊殺,總野怪擊殺
0,0,-6,-1,-8,8,-7,-2,-1,-1,-1,-6878,-1.2,-4956,-76,-20
0,-22,0,-1,-8,8,-8,-1,-1,0,-1,-6871,-1.4,-5115,-34,-40
0,-3,-1,-1,-5,5,-3,-2,-1,-1,-2,-6869,-1.6,-6365,-76,-4
0,-4,1,-1,-15,15,-16,-1,-1,0,0,-6850,-1.2,-6210,-55,16
0,-64,-3,-1,-8,8,-10,-1,0,-1,-1,-6801,-1.2,-4611,-68,1
0,-1,-2,-1,-7,7,-10,0,0,0,-1,-6754,-1.8,-5726,-83,-16
0,37,-4,-1,-12,12,-14,0,-1,1,0,-6717,-1.2,-4767,-45,-8
0,190,0,-1,-12,12,-12,-2,-1,-1,0,-6707,-1.6,-5252,-31,-23
0,3,-3,1,-10,10,-11,-1,-1,0,-1,-6676,-0.6,-3924,-20,-17
0,-3,-1,-1,-8,8,-4,-2,-1,-1,-2,-6604,-0.6,-2014,-45,8
0,-4,0,-1,-8,8,-6,-2,-1,-1,-1,-6578,-1,-4807,-73,-11
0,-16,-3,-1,-9,9,-11,-2,-1,-1,0,-6540,-1,-4772,-57,-8
0,2,1,-1,-10,10,-12,-1,-1,0,0,-6470,-1,-5355,-99,-15
0,-2,-2,-1,-12,12,-11,0,0,0,0,-6460,-1,-5383,-56,2
0,1,-2,-1,-11,11,-13,0,1,-1,0,-6445,-1.2,-4329,-4,-20
0,40,3,-1,-13,13,-9,1,1,0,0,-6435,-1.4,-5116,-47,-18
0,-1,-5,-1,-13,13,-17,-1,-1,0,0,-6402,-0.8,-4189,-26,-17
0,-43,-2,-1,-11,11,-20,-2,-1,-1,0,-6395,-1,-4800,-76,0
0,29,-1,-1,-9,9,-6,-1,0,-1,-1,-6386,-0.8,-4210,-60,-24
0,20,1,-1,-7,7,-4,0,1,-1,-1,-6374,-1.2,-4421,-67,-15
1,-1,2,1,16,-16,21,1,1,0,0,6783,1.2,4718,49,-15
1,1,-2,1,7,-7,4,0,-1,1,1,6790,1,4889,92,6
1,2,5,1,7,-7,14,0,0,0,1,6790,1.2,5348,110,26
1,28,4,1,9,-9,16,1,1,0,0,6876,1.8,6535,58,24
1,4,1,1,7,-7,4,0,1,-1,2,6883,1.2,5337,68,26
1,-1,1,1,12,-12,9,1,1,0,1,6907,1,4512,80,2
1,10,0,1,8,-8,6,2,1,1,1,6921,1,4411,70,15
1,0,-2,-1,10,-10,12,0,-1,1,1,6942,1.2,6381,77,19
1,-1,2,1,11,-11,17,1,1,0,0,6950,0.8,3536,52,-5
1,9,0,1,10,-10,12,-1,-1,0,1,6968,0.8,4379,68,-17
1,5,0,1,11,-11,7,1,1,0,0,6977,1.2,5303,68,25
1,-38,4,1,11,-11,23,1,1,0,0,7039,0.8,4860,93,-12
1,9,0,1,12,-12,16,2,1,1,0,7125,0.4,3657,67,14
1,-1,0,1,7,-7,-2,2,1,1,3,7128,1.4,6117,83,12
1,3,0,-1,15,-15,17,0,1,-1,0,7154,1.4,6032,45,7
1,1,-3,1,11,-11,13,1,1,0,0,7166,1,4491,44,33
1,-19,-1,1,9,-9,7,0,1,-1,1,7242,1.2,4995,95,18
1,0,0,1,6,-6,5,2,1,1,1,7370,1.4,5454,96,21
1,-1,6,1,10,-10,16,1,1,0,2,7404,1,5156,56,-14
1,-2,2,1,11,-11,11,1,1,0,1,7413,1.6,4895,111,-3
1,21,3,1,10,-10,8,1,1,0,0,7420,1.4,5869,74,17
1,6,0,1,9,-9,7,2,1,1,1,7427,1.8,6558,102,9
1,6,2,1,14,-14,11,2,1,1,0,7482,1.6,6466,91,18
1,3,1,1,10,-10,14,1,1,0,0,7577,0.4,2363,47,4
1,0,3,1,11,-11,9,0,0,0,1,7579,1,4666,69,-14
1,-2,-1,-1,16,-16,20,1,0,1,1,7600,0.6,1865,37,-35
1,1,1,1,13,-13,18,0,1,-1,1,7605,0.8,3993,25,-8
1,10,3,1,11,-11,7,-1,-1,0,1,7621,1,4647,38,0
1,-2,1,1,12,-12,14,0,0,0,1,7721,1.4,5190,49,4
1,-4,4,1,8,-8,7,2,1,1,3,7761,1.6,5818,78,14
1,43,-1,1,12,-12,18,0,0,0,2,7776,1.6,6703,103,15
1,11,0,1,7,-7,9,2,1,1,1,7791,1.4,6458,95,5
1,-1,-1,1,14,-14,13,2,1,1,0,7847,1.4,5766,99,0
1,4,0,1,16,-16,17,1,1,0,0,7873,0.8,5225,57,0
1,4,1,1,13,-13,17,1,1,0,1,7980,1.4,4916,59,11
1,2,2,1,11,-11,10,1,0,1,1,7995,1,4733,71,-4
1,-4,6,1,10,-10,7,2,1,1,1,8027,1.6,7621,103,29
1,4,2,1,11,-11,17,1,1,0,1,8151,1.4,5114,58,25
1,108,-2,-1,8,-8,3,0,0,0,3,8234,1.4,6026,92,11
1,-1,0,1,11,-11,14,1,1,0,1,8284,1,4654,49,20
1,3,2,1,11,-11,10,0,0,0,1,8347,1.4,5234,47,18
1,-3,1,1,12,-12,13,0,1,-1,2,8450,1.6,6098,29,10
1,-1,2,1,10,-10,11,1,1,0,2,8532,1.6,5876,78,5
1,5,1,1,13,-13,13,1,1,0,1,8553,1.2,4873,88,3
1,0,3,1,6,-6,1,1,1,0,3,8657,2.4,7609,127,25
1,22,1,-1,16,-16,18,0,0,0,1,8667,1.6,7645,51,2
1,-1,0,1,5,-5,1,2,1,1,3,8776,2,8348,100,50
1,14,0,1,12,-12,22,2,1,1,2,8863,1.4,5411,42,26
1,-32,9,1,11,-11,15,1,0,1,2,8977,1.4,5411,96,-12
1,9,0,1,11,-11,12,0,0,0,4,11467,2.4,8265,103,9
0,-47,-1,1,-8,8,-5,0,0,0,0,-5228,-1.4,-6488,-83,-31
0,20,-3,-1,-10,10,-6,-1,-1,0,0,-6134,-1.8,-6414,-41,-45
0,-33,-2,-1,-9,9,-5,0,0,0,0,-5040,-1,-6118,-24,-35
0,-32,-1,-1,-8,8,-5,-1,-1,0,0,-4160,-1.2,-6073,-59,-33
0,-2,2,-1,-5,5,-5,-1,-1,0,0,-5355,-1.2,-5889,-67,-48
0,-5,-1,1,-12,12,-17,-2,-1,-1,0,-5062,-1.4,-5699,-52,-25
0,4,-1,-1,-10,10,-6,0,0,0,0,-5525,-1.4,-5585,-58,-6
0,-82,1,-1,-6,6,-3,-2,-1,-1,-1,-5735,-1.6,-5547,-74,-24
0,7,-4,-1,-8,8,-8,-2,-1,-1,0,-5519,-1.2,-5521,-75,-9
0,-2,-1,-1,-11,11,-12,-1,0,-1,0,-5338,-1.2,-5445,-56,5
0,-4,-4,-1,-10,10,-6,-1,-1,0,0,-6001,-0.8,-5404,-49,-28
0,2,2,1,-7,7,-6,-2,-1,-1,0,-3582,-1.2,-5395,-46,-15
0,3,-3,-1,-9,9,-7,1,1,0,0,-6259,-1,-5376,-50,-18
0,0,-1,-1,-5,5,-4,-1,-1,0,0,-5705,-1.2,-5364,-95,-22
0,4,-5,-1,-6,6,0,2,1,1,0,-5540,-1.4,-5343,-87,-36
0,-10,0,-1,-9,9,-6,0,0,0,0,-4486,-1,-5334,-14,-16
0,-33,-3,1,-12,12,-13,-2,-1,-1,0,-5395,-1.4,-5287,-46,-12
0,-3,1,-1,-7,7,-8,0,0,0,0,-5253,-1.4,-5281,-113,-14
0,-1,-2,1,-11,11,-11,1,1,0,0,-5683,-1.2,-5256,-69,3
0,-1,0,-1,-3,3,-6,-2,-1,-1,-1,-5059,-1.4,-5247,-68,-39
0,-27,-1,-1,-7,7,-6,1,1,0,0,-4927,-1.2,-5216,-28,-18
0,-1,-2,-1,-8,8,-7,0,-1,1,0,-4474,-1.4,-5216,-52,-16
0,2,0,-1,-8,8,-5,0,0,0,0,-5031,-1.2,-5211,-12,-39
0,0,-3,-1,-7,7,-5,1,1,0,0,-4801,-1.2,-5205,-51,-16
0,17,1,-1,-10,10,-10,-2,-1,-1,0,-5369,-1,-5193,-46,-11
0,13,-1,-1,-8,8,-7,-2,-1,-1,-1,-6373,-1.2,-5156,-92,-8
0,0,-2,-1,-6,6,1,-2,-1,-1,-1,-5181,-1.2,-5072,-99,-20
0,18,-2,1,-4,4,-9,-1,-1,0,0,-4413,-1.2,-5071,-48,-39
0,-2,1,-1,-9,9,-3,1,1,0,0,-4767,-1.2,-5061,-71,4
0,22,-14,-1,-6,6,-8,-2,-1,-1,0,-5394,-1.2,-5037,-75,-24
0,45,-2,1,-10,10,-16,-1,-1,0,0,-4561,-1.6,-5031,-20,-20
0,0,-1,-1,-8,8,-5,-2,-1,-1,-1,-5812,-1,-5009,-33,-17
0,-19,-1,-1,-7,7,-4,-1,0,-1,-2,-6199,-1.2,-4997,-54,-13
0,-55,-2,-1,-3,3,-13,-1,-1,0,0,-3750,-1.4,-4961,-34,-11
0,-39,-1,-1,-6,6,-7,1,1,0,0,-4357,-1,-4959,-21,-34
0,-79,3,-1,-9,9,-13,-2,-1,-1,0,-5710,-1.4,-4952,-38,-31
0,-19,-1,-1,-8,8,-9,-2,-1,-1,0,-5533,-1.2,-4951,-83,1
0,-2,0,-1,-11,11,-18,-1,-1,0,0,-5601,-1.2,-4942,-14,17
0,3,-3,1,-5,5,-1,-1,-1,0,-1,-4235,-1,-4926,-46,-30
0,-1,-2,-1,-7,7,-10,-1,-1,0,0,-5292,-1,-4922,-52,-24
0,-37,17,1,-7,7,-4,-1,0,-1,-1,-5089,-1.2,-4890,-59,-21
0,-26,-2,-1,-10,10,-2,-2,-1,-1,0,-5900,-1,-4872,-54,-18
0,-15,-2,-1,-8,8,-5,1,1,0,0,-5000,-1,-4822,-47,-15
0,-5,-2,-1,-9,9,-7,-1,-1,0,0,-6092,-1.2,-4820,-75,-10
0,2,-1,-1,-9,9,-7,-1,-1,0,0,-5020,-1.6,-4792,-33,-33
0,0,-2,-1,-10,10,-9,-1,-1,0,0,-5668,-1,-4786,-51,2
0,-3,0,1,-7,7,-5,-1,-1,0,0,-4201,-1,-4782,-30,-8
0,-5,1,-1,-8,8,-10,-1,-1,0,-1,-5141,-1,-4745,-83,-15
0,-21,-1,-1,-7,7,-4,-2,-1,-1,-1,-6286,-1.4,-4733,-93,-9
0,4,-2,1,-4,4,-9,0,1,-1,-2,-5763,-1.6,-4731,-48,-4
0,-1,2,-1,-10,10,-5,-2,-1,-1,0,-5563,-1,-4698,-26,-26
0,-18,1,1,-8,8,-12,-1,-1,0,0,-5003,-1.2,-4682,7,-35
0,48,11,1,-4,4,-4,-1,-1,0,0,-3689,-0.8,-4682,-22,-34
0,-17,0,-1,-9,9,-8,0,0,0,-1,-5431,-1,-4681,-9,-9
0,20,-1,-1,-7,7,-12,-1,-1,0,0,-5298,-1.4,-4670,-73,4
0,15,17,-1,-5,5,-3,-2,-1,-1,0,-4529,-1.2,-4665,-72,-25
0,1,-1,-1,-10,10,-12,1,0,1,0,-6134,-1.4,-4660,-82,-5
0,-3,1,-1,-9,9,-2,0,-1,1,0,-3948,-1.4,-4655,-85,-24
0,0,-2,-1,-9,9,-12,0,-1,1,0,-5793,-1.2,-4650,-43,0
1,3,-3,1,7,-7,13,1,1,0,0,5354,0.8,4695,81,4
1,-14,1,1,5,-5,6,0,-1,1,0,4787,1.2,4701,27,21
0,-3,-1,1,12,-12,0,0,0,0,0,4941,1,4702,71,-16
1,25,3,1,6,-6,9,-1,-1,0,0,3419,1,4709,57,-5
1,5,1,1,11,-11,12,1,1,0,0,6290,1.4,4719,34,-2
1,8,4,-1,7,-7,10,0,-1,1,0,3672,1,4732,56,-12
1,2,1,-1,10,-10,8,0,-1,1,0,6081,1,4748,38,16
1,3,2,-1,10,-10,16,1,1,0,0,5784,1.2,4755,58,8
1,1,2,1,9,-9,6,1,1,0,0,5805,1,4777,52,20
0,3,-1,1,8,-8,10,0,0,0,0,4627,1.2,4784,37,1
1,0,7,1,8,-8,10,1,1,0,1,6275,1.2,4789,34,12
1,4,-9,1,11,-11,9,-1,0,-1,0,5300,1.2,4813,34,12
1,0,-1,1,11,-11,7,2,1,1,1,6624,1,4865,61,-3
1,7,0,1,8,-8,9,2,1,1,0,5365,1,4901,60,14
1,2,-10,1,6,-6,6,0,0,0,0,4100,1,4903,54,27
1,2,-1,1,6,-6,11,-1,-1,0,0,5159,1,4916,82,20
1,84,-1,1,2,-2,10,1,1,0,0,4042,1.8,4968,44,51
1,6,1,1,5,-5,1,0,-1,1,1,4424,0.8,4969,41,23
1,7,3,1,9,-9,12,1,1,0,0,6445,1.4,4988,37,25
1,22,2,1,7,-7,6,0,-1,1,0,5359,0.8,4990,20,40
1,-15,2,1,10,-10,4,0,1,-1,0,6000,1,5033,104,-20
1,0,2,-1,8,-8,4,1,1,0,0,3912,1.2,5044,59,2
1,16,-2,1,9,-9,10,2,1,1,1,6450,1.4,5057,25,41
1,-71,0,1,11,-11,4,0,-1,1,0,5565,1.2,5067,61,14
1,-5,2,1,5,-5,7,1,1,0,0,4798,1.2,5096,77,15
1,4,0,1,4,-4,1,1,1,0,0,3629,1.2,5111,99,-1
1,29,-12,1,7,-7,5,0,-1,1,0,5229,1,5136,51,22
1,21,5,1,12,-12,15,1,1,0,0,6310,1.4,5136,8,17
1,0,1,-1,10,-10,8,2,1,1,1,5900,1.2,5188,47,-2
1,-6,0,1,5,-5,7,1,1,0,0,5779,1.8,5212,39,64
1,-67,-2,1,6,-6,5,-1,-1,0,1,6773,1,5215,98,19
0,33,-13,1,5,-5,-1,2,1,1,0,3319,1,5284,67,5
1,-31,1,1,4,-4,3,1,1,0,0,4864,1.4,5310,56,35
1,4,3,-1,6,-6,3,0,-1,1,2,6161,1.2,5326,111,-4
1,22,3,1,11,-11,16,1,1,0,0,5491,1.2,5335,57,-8
0,0,-1,1,11,-11,12,0,-1,1,1,6744,1.2,5355,53,-1
1,3,-1,-1,9,-9,6,1,1,0,0,6202,1,5368,59,20
1,83,-2,-1,13,-13,22,2,1,1,0,6713,1.2,5380,50,-3
1,6,0,-1,7,-7,6,2,1,1,2,6578,1.6,5388,93,4
1,11,-2,1,10,-10,9,-1,-1,0,0,5802,1.4,5396,63,23
1,-4,0,-1,9,-9,7,1,1,0,0,4389,1,5412,11,26
1,1,3,1,11,-11,11,0,0,0,0,5035,1.2,5420,-5,16
1,4,1,1,10,-10,12,1,1,0,0,5468,1.4,5522,27,26
1,5,2,1,12,-12,7,2,1,1,0,5236,1,5547,38,8
1,-24,8,-1,8,-8,4,2,1,1,0,4079,1.2,5568,14,31
1,2,6,1,8,-8,10,-1,-1,0,0,4491,1.4,5575,34,0
1,1,-1,1,8,-8,10,1,0,1,0,6703,1.8,5604,69,-2
1,-2,1,1,9,-9,11,2,1,1,0,5240,1.4,5663,-13,49
1,7,2,1,3,-3,5,2,1,1,0,4520,1.8,5730,48,39
1,-3,3,-1,11,-11,9,1,1,0,1,6535,1.4,5732,74,32
1,2,0,-1,11,-11,17,-1,-1,0,0,6297,1.4,5777,54,9
1,1,3,1,9,-9,5,2,1,1,0,5301,1,5872,58,24
1,-10,1,1,5,-5,5,2,1,1,1,6304,1.6,5904,89,8
1,3,1,1,9,-9,4,0,1,-1,0,5664,1.4,6002,79,31
1,7,5,1,9,-9,6,0,-1,1,0,6221,1.6,6143,62,12
1,3,2,1,9,-9,8,2,1,1,0,6658,1,6189,84,9
1,5,4,-1,11,-11,11,1,0,1,0,6763,1.4,6488,63,23
0,1,0,-1,-2,2,-6,-2,-1,-1,-1,-4493,-1,-3830,-5,-64
0,8,1,1,1,-1,0,1,1,0,0,-614,0,-846,8,-64
0,3,-2,1,-3,3,-2,-1,-1,0,0,-2118,-0.2,-2158,25,-61
0,1,1,1,-8,8,-7,0,0,0,0,-5820,-1,-4066,-49,-59
0,-2,2,-1,-4,4,-8,0,0,0,0,-3546,-0.6,-1919,-3,-59
0,8,0,-1,-3,3,-4,-1,0,-1,0,-2876,-0.4,-2715,-3,-54
0,-7,0,-1,-5,5,-6,-2,-1,-1,0,-4496,-1,-4428,-27,-52
1,-12,-5,1,6,-6,6,1,1,0,1,2394,-0.2,-1292,1,-52
1,0,1,1,3,-3,10,0,0,0,0,784,-0.6,-2929,-12,-51
0,-15,-1,-1,2,-2,4,-1,-1,0,0,-1182,-0.2,-2730,-17,-50
0,-3,1,-1,-5,5,-8,-2,-1,-1,0,-3232,-1,-2573,-5,-49
0,-23,2,-1,-3,3,-2,-1,-1,0,0,-3152,-0.8,-2754,1,-48
0,1,-2,1,-3,3,-1,-1,-1,0,0,-2405,-0.6,-2654,7,-48
1,-2,0,-1,-2,2,1,-1,-1,0,0,-1682,-0.4,-2102,-35,-48
0,5,-2,1,-4,4,-2,-1,-1,0,0,-2286,-1.2,-3935,-20,-47
1,-5,1,-1,-5,5,-5,-1,-1,0,0,-4578,-1,-3673,-58,-47
0,-15,1,1,3,-3,8,0,1,-1,0,363,-0.4,-1888,-8,-47
0,18,-5,1,-4,4,-4,0,-1,1,0,-3996,-1,-3131,-31,-46
0,9,-1,1,1,-1,2,-1,-1,0,0,-400,-0.4,-1684,-11,-46
1,27,1,1,8,-8,13,0,-1,1,1,5634,0.6,2094,46,-46
0,-3,1,1,-3,3,-6,-1,-1,0,0,-3160,-0.8,-3099,-32,-45
0,-57,0,1,-2,2,-5,-1,-1,0,0,-2139,-0.6,-1844,-6,-45
0,-31,-1,-1,5,-5,9,-1,-1,0,0,1841,0,-591,27,-45
0,14,0,-1,-5,5,2,-2,-1,-1,0,-4264,-0.8,-3932,-66,-44
1,33,0,-1,-6,6,-4,1,1,0,0,-3101,-0.2,-2897,-19,-44
0,2,0,1,2,-2,2,-1,-1,0,0,-375,-0.6,-1283,18,-44
0,8,-2,1,0,0,-3,-1,-1,0,0,-262,-0.2,-1246,25,-44
0,19,-3,-1,-1,1,3,-2,-1,-1,0,-839,0,-833,-11,-44
0,34,-1,-1,1,-1,2,-2,-1,-1,0,503,-0.4,-194,19,-44
0,-20,0,-1,3,-3,6,-1,0,-1,0,428,-0.2,374,28,-44
1,-18,2,-1,6,-6,8,-1,-1,0,0,2037,0.6,1291,9,-44
0,2,0,-1,-3,3,-1,-1,0,-1,0,-2580,-0.8,-3307,17,-43
1,7,-1,1,-2,2,-3,0,-1,1,0,-2272,-0.6,-2782,3,-43
1,-4,0,-1,-2,2,-3,-1,-1,0,0,-2142,-0.2,-1742,-7,-43
0,0,0,1,0,0,2,-1,-1,0,0,175,0,-532,-11,-43
1,-46,1,-1,2,-2,3,-1,-1,0,0,478,0,-124,13,-43
0,-7,-1,-1,-4,4,-1,2,1,1,0,-3144,-0.6,-3235,-35,-42
0,-5,4,-1,-3,3,-1,0,0,0,0,-3656,-0.8,-2866,-11,-42
1,-2,1,1,-2,2,-3,-1,-1,0,0,-1443,-0.6,-1629,-11,-42
1,31,5,1,4,-4,3,0,0,0,0,1221,0,-172,16,-42
0,-4,0,1,-2,2,0,-1,-1,0,0,-2335,-0.6,-2787,-18,-41
0,7,-4,1,-2,2,3,-2,-1,-1,0,-2343,-0.4,-2231,-41,-41
0,21,1,-1,-2,2,-4,-1,-1,0,0,-1799,-0.2,-1942,23,-41
0,-4,-1,-1,-4,4,-8,-2,-1,-1,0,-1565,-0.6,-1752,53,-41
0,8,1,1,0,0,3,0,-1,1,-1,-2579,-0.4,-1094,-27,-41
1,2,0,-1,4,-4,8,-2,-1,-1,0,1573,-0.2,-624,-1,-41
0,-4,1,1,-6,6,-9,-2,-1,-1,0,-4054,-0.6,-3806,-47,-40
0,34,1,-1,-5,5,-9,1,1,0,-1,-4646,-1,-3186,0,-40
0,-16,13,1,0,0,1,0,1,-1,0,-1501,-0.8,-3119,-8,-40
0,-5,2,1,-2,2,0,-1,-1,0,0,-1964,-0.8,-3104,-13,-40
0,-3,0,-1,-3,3,-3,-1,-1,0,0,-2345,-0.8,-2959,-6,-40
1,-1,2,1,3,-3,-5,2,1,1,0,3413,0.4,2303,117,11
1,-2,-1,1,8,-8,6,0,1,-1,0,4999,1.2,3308,115,-24
1,-5,1,1,0,0,-4,-1,-1,0,1,3545,0.6,2162,112,26
1,67,-3,1,2,-2,3,-1,-1,0,0,3038,1,3164,96,-8
0,4,1,1,-5,5,-3,0,-1,1,0,1285,0.4,1300,96,7
0,7,-1,-1,0,0,-2,-2,-1,-1,0,2209,0.2,1640,94,-13
1,-63,0,1,3,-3,3,2,1,1,0,3346,0.4,3707,93,11
1,4,1,1,8,-8,3,2,1,1,0,5025,0.8,3609,92,4
1,0,7,1,3,-3,3,0,-1,1,2,5286,1,3583,92,8
1,-15,0,-1,4,-4,-4,1,1,0,0,2368,0.6,1767,91,8
1,7,-1,1,7,-7,6,0,0,0,0,4227,1,3892,90,8
1,-2,1,1,8,-8,4,1,1,0,0,4287,0.8,3938,89,24
1,6,3,1,6,-6,-3,2,1,1,1,4296,0.6,3034,88,-3
0,3,-2,1,2,-2,9,-1,-1,0,0,3107,0.6,2223,87,-17
0,-2,2,-1,-1,1,-2,-1,-1,0,1,1191,0.2,1276,87,-11
1,3,0,-1,5,-5,3,1,1,0,0,4458,1,3839,87,-5
0,-25,0,1,2,-2,0,-1,-1,0,0,2664,0.4,2155,87,5
1,3,1,1,5,-5,8,1,1,0,0,4651,1.2,4293,87,12
1,-3,3,1,11,-11,12,0,0,0,1,6375,1,3949,86,-26
1,4,5,1,5,-5,4,-1,-1,0,0,2954,0.6,3730,86,-16
1,4,-1,-1,5,-5,3,0,0,0,0,4170,1,4481,86,12
1,-18,-2,1,4,-4,0,-1,-1,0,0,2973,0.6,1838,85,-19
1,-4,0,-1,-3,3,-11,1,1,0,0,-556,0.2,-235,85,-5
1,-27,1,1,2,-2,5,0,0,0,0,2555,0.2,2123,85,-1
1,-6,3,-1,7,-7,9,1,1,0,0,5885,1,4652,85,3
1,1,0,1,7,-7,5,0,0,0,1,6581,1,3949,85,6
1,2,0,1,4,-4,1,1,1,0,0,3212,0.8,3245,84,-8
1,37,1,1,8,-8,8,0,0,0,1,6423,0.8,3767,84,-6
1,-2,2,1,1,-1,-2,0,0,0,0,995,0.8,2657,84,-5
1,9,3,-1,1,-1,-1,0,-1,1,0,2679,0.6,3685,84,0
1,-1,-3,-1,3,-3,-3,2,1,1,0,4594,0.6,2745,84,17
1,7,-2,1,4,-4,2,1,1,0,0,3969,0.4,1119,84,23
1,0,3,-1,7,-7,13,1,1,0,0,4620,0.8,2871,83,-5
1,-25,17,1,8,-8,4,0,0,0,0,5501,0.8,3548,82,-5
0,5,2,1,5,-5,3,1,1,0,0,3136,0.6,2512,82,-3
1,-155,4,1,5,-5,-10,0,0,0,1,2658,0.6,2407,82,13
1,-1,0,1,2,-2,0,1,0,1,2,4363,1.2,4467,82,19
1,0,0,1,3,-3,6,0,0,0,0,2296,0,773,79,-19
1,-10,2,1,10,-10,14,0,1,-1,1,6672,1.2,3761,79,-5
1,18,0,1,3,-3,3,2,1,1,0,3035,1,3792,79,-3
1,0,3,1,4,-4,3,0,0,0,0,2036,0.6,2183,79,5
1,76,2,1,5,-5,7,1,1,0,1,4588,0,930,78,-8
0,23,4,1,1,-1,3,-1,-1,0,0,1678,0.4,1857,77,-32
1,-19,0,1,6,-6,5,1,0,1,1,5638,0.8,3250,77,-4
1,-25,1,-1,-3,3,-2,1,0,1,0,1151,0.8,1870,77,12
1,1,-2,-1,4,-4,15,1,1,0,0,2397,0.6,3292,76,-26
1,-21,1,1,1,-1,6,-1,-1,0,0,2006,-0.2,617,76,-12
1,-1,1,1,-1,1,-3,-1,-1,0,0,739,0.4,1639,76,-12
1,-7,0,1,6,-6,3,2,1,1,1,5263,0.4,3213,76,6
1,-3,2,-1,6,-6,4,1,1,0,0,2845,1,4032,76,8
1,0,0,1,2,-2,-2,0,0,0,0,2501,0.6,2231,75,-12
0,-23,2,-1,-1,1,-5,0,0,0,0,585,0.2,570,75,-5
0,4,-3,1,7,-7,9,1,1,0,0,4607,0.6,2975,75,-1
1,4,0,1,6,-6,2,0,1,-1,0,3958,0.8,3881,75,8
0,129,0,-1,4,-4,4,1,1,0,0,3036,0.8,3251,75,12
1,4,-1,1,5,-5,3,-2,-1,-1,0,3181,0.4,3298,75,14
1,3,0,1,8,-8,6,2,1,1,0,5616,0.6,3916,75,16
1,-15,2,1,2,-2,5,0,0,0,0,3037,0.6,2561,74,-16
1,7,0,1,4,-4,2,0,-1,1,0,3797,0.4,2242,74,-4
1,-1,1,-1,7,-7,5,0,0,0,0,4879,1.2,3774,74,-3
1,-38,0,1,4,-4,3,0,1,-1,0,5008,0.6,2355,74,19
1,13,0,1,2,-2,-1,-1,0,-1,0,2803,0.4,2471,73,7
0,1,2,-1,2,-2,0,1,1,0,0,1932,0.4,2097,73,14
1,23,-9,-1,-1,1,-10,0,-1,1,0,1903,0.8,4023,73,16
