藍方勝,守衛放置數,守衛破壞數,首殺,擊殺數,死亡數,助攻數,菁英野怪數,小龍擊殺數,預示者擊殺數,推塔數,總經濟,平均等級,總經驗,總小兵擊殺,總野怪擊殺
1,2,3,-1,1,-1,-1,1,1,0,0,705,0,192,28,-3
1,1,-1,-1,0,0,-2,1,1,0,0,908,0,306,-2,11
1,-11,2,-1,5,-5,9,2,1,1,0,3558,0.4,3243,41,12
0,-41,5,-1,-5,5,-3,-1,-1,0,0,-1299,-0.2,-49,23,9
1,-3,2,-1,-3,3,1,1,1,0,0,-1763,-0.6,-1864,-47,8
1,3,-1,-1,6,-6,8,0,0,0,0,2547,0.8,2189,-15,23
0,-7,0,-1,-7,7,-11,0,1,-1,0,-3685,-0.8,-3119,10,-14
0,48,11,1,-4,4,-4,-1,-1,0,0,-3689,-0.8,-4682,-22,-34
0,-16,0,1,-2,2,-4,-2,-1,-1,0,-764,0.4,803,3,27
1,2,1,1,7,-7,3,-1,-1,0,0,3037,0.6,2694,10,10
1,-5,1,1,0,0,-4,-1,-1,0,1,3545,0.6,2162,112,26
0,-2,-2,-1,0,0,3,1,1,0,0,-1031,-0.2,-394,-46,-12
0,1,-1,-1,-5,5,-9,-1,-1,0,0,-1796,0,-749,-1,15
1,-1,4,1,1,-1,4,-1,-1,0,0,1626,-0.2,747,44,-14
1,28,0,-1,-2,2,-1,0,-1,1,0,832,0.2,1330,64,22
1,2,-2,-1,5,-5,2,2,1,1,0,2750,0.4,2647,39,0
0,5,-2,-1,-3,3,-7,1,0,1,0,-1524,-0.2,-827,41,-11
0,-4,2,1,-2,2,-7,1,1,0,0,-1370,-0.4,-875,14,17
0,-3,0,-1,-2,2,-3,-1,-1,0,0,-1506,-0.4,-412,-22,-1
0,-4,1,-1,-1,1,-3,-2,-1,-1,0,-1101,-0.4,-718,-13,12
0,3,0,-1,5,-5,5,0,-1,1,0,2774,0.6,2207,27,-3
0,11,-3,-1,-3,3,-4,-2,-1,-1,0,-1806,0,-588,7,-11
0,-4,0,-1,2,-2,4,0,1,-1,0,1265,0.2,1248,41,-8
1,1,0,-1,-8,8,-5,-1,-1,0,0,-4443,-1,-4140,-27,-20
0,3,-1,-1,-2,2,-6,-1,-1,0,0,-927,0.2,967,17,11
1,-2,1,1,4,-4,6,-2,-1,-1,0,1425,0.2,728,13,-8
1,0,3,-1,2,-2,4,1,1,0,0,1177,0.4,1161,7,-11
1,2,-3,1,-5,5,-12,0,1,-1,0,-1586,0.2,410,20,0
0,1,0,-1,-5,5,-3,2,1,1,0,-2896,-0.6,-2081,-4,-32
1,6,-2,-1,3,-3,1,0,0,0,0,905,0.2,1054,-38,8
0,-14,0,1,-8,8,-4,0,0,0,0,-3887,-0.8,-3392,-24,-11
1,16,0,1,6,-6,5,1,1,0,0,3413,0.6,2984,-8,8
0,-18,0,1,-2,2,-2,2,1,1,0,-256,-0.4,-1580,-2,-4
1,2,-2,1,-3,3,-4,0,0,0,0,-1820,-0.4,-1412,-4,-1
1,-88,0,1,2,-2,8,1,1,0,0,625,-0.2,-534,7,-9
0,-2,0,-1,-4,4,-3,-1,-1,0,0,-3628,-0.2,-2009,-70,0
0,14,2,1,0,0,1,0,-1,1,0,769,0.4,480,-16,13
0,0,2,-1,0,0,2,0,1,-1,0,-576,0,-682,31,-23
0,-28,14,-1,-6,6,-6,-1,-1,0,0,-3900,-1.2,-3550,-42,-11
1,-5,0,-1,1,-1,2,0,1,-1,0,-7,-0.2,-231,-17,-17
1,-1,3,1,3,-3,5,-1,-1,0,0,1683,0.2,1433,-24,-12
0,-1,-4,-1,-7,7,-9,-1,-1,0,0,-4782,-0.6,-3408,-52,-11
1,24,2,1,2,-2,2,1,1,0,0,636,0.2,-214,-10,-8
1,27,-3,-1,-7,7,-6,1,1,0,0,-3421,-1,-2624,-36,-12
1,-21,2,-1,2,-2,1,1,1,0,0,976,0.4,1599,10,19
0,23,-1,-1,-1,1,-1,-1,0,-1,0,-211,-0.4,-1305,1,6
1,-17,2,-1,2,-2,1,0,0,0,0,1221,0,462,18,4
1,-18,2,-1,6,-6,8,-1,-1,0,0,2037,0.6,1291,9,-44
1,-23,3,1,3,-3,8,1,1,0,0,817,0.2,-94,12,-22
1,3,1,1,0,0,3,-1,-1,0,0,-137,0,-351,-12,-24
1,20,-3,1,-3,3,-8,1,1,0,0,-1539,-0.8,-1497,21,-19
0,-49,2,-1,-2,2,-6,-1,-1,0,0,-1707,-0.6,-1286,-25,-3
1,-4,0,-1,-3,3,-11,1,1,0,0,-556,0.2,-235,85,-5
1,8,-2,1,2,-2,7,0,1,-1,0,-146,-0.2,-717,-26,-7
1,0,-1,1,8,-8,8,0,-1,1,0,4083,0.6,2884,36,-15
1,-21,-1,-1,0,0,-1,-1,-1,0,0,1389,0.4,1418,-3,15
0,12,2,-1,-1,1,-2,0,1,-1,0,-890,0,-528,3,11
0,-6,0,1,-5,5,-10,0,0,0,0,-2519,0,-1095,-2,-14
0,77,0,-1,-11,11,-10,0,0,0,0,-4440,-1.2,-4020,-18,-21
1,-2,2,1,1,-1,3,-2,-1,-1,0,1140,0,705,61,8
0,2,-1,1,-2,2,-1,0,0,0,0,-1656,-0.4,-1832,-47,-11
1,-14,1,-1,5,-5,10,-2,-1,-1,0,2171,-0.2,-261,-7,0
1,4,-1,1,8,-8,12,0,0,0,0,3841,0.4,2484,-10,4
1,-21,2,-1,-7,7,-10,0,-1,1,1,-885,-0.6,-2172,16,4
0,-1,-2,-1,-5,5,-5,2,1,1,0,-2752,-0.6,-2286,-50,8
1,0,-1,1,4,-4,11,0,0,0,0,2081,0,466,7,-13
0,-1,3,1,1,-1,1,0,0,0,0,453,-0.2,-19,23,2
0,-25,-2,1,2,-2,2,0,1,-1,0,830,-0.2,-1002,4,0
0,4,-2,-1,0,0,-3,0,0,0,0,94,-0.2,-445,35,0
0,57,1,-1,2,-2,6,2,1,1,0,-722,0.4,891,-54,17
0,-20,-4,-1,-1,1,-1,0,-1,1,0,-1491,-0.2,-799,8,-6
0,-3,0,-1,-8,8,-13,-2,-1,-1,0,-3109,-0.2,-1745,-3,22
0,-1,0,1,-4,4,-2,-1,-1,0,0,537,0,-477,52,5
1,-24,8,-1,8,-8,4,2,1,1,0,4079,1.2,5568,14,31
1,74,2,-1,5,-5,7,0,0,0,1,4006,0.6,2081,3,3
0,2,2,1,-7,7,-6,-2,-1,-1,0,-3582,-1.2,-5395,-46,-15
1,-3,1,-1,0,0,0,-1,-1,0,0,-355,0,233,-19,8
1,-23,10,1,1,-1,2,0,0,0,1,3464,0.2,994,29,24
1,4,1,1,4,-4,6,0,1,-1,0,2217,0.4,2183,-4,28
1,0,-2,1,5,-5,7,2,1,1,0,3049,0.2,1511,1,5
1,-12,0,-1,-1,1,-3,1,1,0,0,-305,0,-474,-1,4
0,39,0,-1,2,-2,5,0,1,-1,0,1325,0,479,11,-1
1,3,-2,1,0,0,1,-1,-1,0,0,-53,0,87,18,-8
0,19,-3,-1,-4,4,-2,-1,-1,0,0,-2865,-0.2,-1441,-41,8
0,-23,1,1,0,0,-3,-1,-1,0,0,-93,-0.2,-561,-2,2
0,4,2,1,-1,1,-3,-1,-1,0,0,-420,-0.6,-1185,13,-4
1,-38,0,1,4,-4,3,0,1,-1,0,5008,0.6,2355,74,19
0,0,-1,1,-2,2,-4,-2,-1,-1,0,-2074,-0.4,-1795,-8,-3
1,-6,2,-1,1,-1,0,1,0,1,0,-3,0.2,1013,-2,15
0,-6,-1,1,0,0,-2,-2,-1,-1,0,-837,0,-660,-36,0
1,1,-2,1,0,0,0,0,1,-1,0,510,-0.4,-747,13,-16
0,2,-1,-1,-5,5,-4,1,1,0,0,-3549,-0.6,-2407,-14,-17
1,-39,2,-1,0,0,-1,-1,-1,0,0,272,0.4,359,41,-12
1,-27,-1,1,4,-4,4,0,0,0,0,2187,0.2,2189,24,-1
0,1,-1,-1,-6,6,-7,-1,0,-1,-1,-4907,-0.8,-2556,-20,-7
1,-2,2,1,1,-1,-2,1,1,0,0,63,0.4,648,28,0
1,2,-2,-1,-4,4,-7,0,-1,1,0,-2132,0,-484,-8,21
0,-3,2,-1,-1,1,-3,0,-1,1,0,-976,-0.6,-964,-11,2
0,50,-2,1,-2,2,-3,-1,-1,0,0,-1342,-0.6,-1966,-32,8
1,2,-2,1,6,-6,3,1,1,0,0,2304,1,2532,21,-4
1,-68,3,-1,8,-8,10,-1,-1,0,0,4219,0.6,3379,-1,14
0,-24,1,1,-1,1,-2,0,0,0,0,-2049,-0.4,-2340,-63,-1
0,-4,0,-1,-4,4,-2,-1,-1,0,0,-4179,-0.8,-3823,-49,-19
0,-2,2,-1,0,0,6,-1,-1,0,0,-66,0.2,-1073,24,-16
1,2,2,-1,2,-2,9,2,1,1,0,510,0,142,-37,4
0,0,1,1,1,-1,1,0,-1,1,0,2591,0.4,1567,55,18
0,1,0,1,-8,8,-15,-1,-1,0,-1,-3772,-1,-3034,21,-7
0,8,-1,1,0,0,4,1,1,0,0,965,-0.2,-878,7,-8
0,-3,-1,-1,-4,4,-6,-2,-1,-1,0,-3468,-0.8,-2158,-36,-36
1,12,1,1,11,-11,11,0,0,0,0,6153,1,3916,16,9
0,-41,-2,-1,-5,5,-8,-1,-1,0,0,-2216,-0.6,-2730,4,0
0,-2,-2,-1,-5,5,-10,1,1,0,0,-2308,-0.6,-1767,-15,11
1,3,2,1,0,0,2,0,-1,1,0,1917,-0.4,-179,16,3
0,1,0,-1,-3,3,-2,-1,-1,0,0,-1676,-0.4,-1759,24,-32
1,5,1,1,5,-5,1,1,1,0,0,2709,0.4,1259,28,-12
0,-23,-1,-1,-2,2,-7,-1,-1,0,0,-1304,-0.2,-552,6,-10
1,28,3,1,3,-3,5,1,1,0,0,1824,0.2,1409,7,-1
0,0,2,-1,3,-3,6,-2,-1,-1,0,229,-0.2,-45,-38,-6
1,-14,0,-1,0,0,3,1,0,1,0,1507,0.2,1667,38,1
0,-5,0,-1,-4,4,-1,1,1,0,0,-1787,0,-1135,-4,4
0,-1,0,-1,1,-1,-1,0,0,0,0,815,0.4,1397,52,-3
0,-2,1,-1,-9,9,-3,1,1,0,0,-4767,-1.2,-5061,-71,4
0,-2,-1,-1,-2,2,-4,-1,-1,0,0,-1861,-0.4,-2532,-41,-21
0,53,-4,-1,-13,13,-17,1,1,0,-1,-7655,-1.2,-4485,-60,24
1,8,-5,-1,-5,5,-8,0,0,0,0,-2058,-0.4,-2051,-12,2
1,-2,2,-1,0,0,4,1,1,0,0,-575,-0.2,-208,-12,-12
0,-3,2,1,2,-2,1,1,0,1,0,1765,0.4,701,33,3
0,-2,3,1,0,0,0,0,-1,1,0,540,0,269,35,-14
1,-1,-1,-1,3,-3,4,-1,-1,0,0,862,-0.2,-442,-18,0
1,20,2,1,4,-4,8,1,1,0,0,2761,0,1659,20,4
0,-70,-2,-1,-5,5,-2,-1,-1,0,0,-1249,-0.4,-853,13,17
1,18,-2,-1,0,0,-2,-1,-1,0,0,-75,0,655,27,8
1,1,2,1,9,-9,6,1,1,0,0,5805,1,4777,52,20
0,9,-1,-1,-2,2,-8,0,-1,1,0,-810,0,-305,-14,7
0,107,-1,1,1,-1,4,1,0,1,0,1034,0.2,706,-2,4
1,1,-7,1,-4,4,-4,-1,0,-1,0,-2595,-0.8,-2856,-29,-1
1,6,4,-1,-1,1,2,-1,-1,0,0,-334,0.2,-73,5,7
1,-2,3,1,7,-7,4,2,1,1,1,3806,0.4,2161,2,0
0,21,1,-1,-5,5,-5,0,0,0,0,-2711,-0.4,-2547,-10,-21
1,7,0,1,4,-4,1,0,0,0,0,2551,0.2,1754,47,2
0,13,9,1,3,-3,6,1,1,0,0,66,-0.2,-446,-41,-12
0,-20,2,-1,5,-5,10,1,1,0,0,2242,0.4,727,-12,5
0,0,-2,-1,-3,3,-6,1,0,1,0,-893,0,-213,21,7
0,16,0,-1,-3,3,-6,-1,-1,0,0,-1208,0,-152,-18,13
1,-4,2,-1,8,-8,6,-1,-1,0,0,4003,0.4,2566,40,0
1,4,-2,-1,2,-2,-2,1,1,0,0,819,0.4,2149,34,-9
1,60,4,1,6,-6,9,-1,0,-1,0,4009,0.4,1935,47,3
0,0,-2,-1,-1,1,-1,1,1,0,0,-259,-0.4,-1001,-26,-6
0,11,0,1,3,-3,6,0,0,0,0,1728,-0.2,-738,32,-16
0,0,3,-1,0,0,-3,0,-1,1,0,474,0.4,393,34,12
0,2,0,1,6,-6,3,0,0,0,0,1863,0,328,-2,-17
0,23,-1,-1,-6,6,-6,-1,-1,0,0,-3846,-0.4,-2306,-53,-4
0,-4,0,-1,-2,2,-4,-1,-1,0,0,-2373,-0.2,-1592,-23,-29
1,1,-3,-1,1,-1,5,1,1,0,0,218,-0.2,-204,-5,-6
1,11,1,1,2,-2,2,0,0,0,0,2208,0.6,1929,20,19
0,27,-2,-1,-2,2,-7,1,1,0,0,-1440,0,-373,-24,12
0,13,-3,-1,-2,2,6,1,1,0,0,-845,-0.4,-1743,-24,-32
0,4,-3,-1,-4,4,-7,-1,-1,0,0,-2635,-0.6,-2694,-68,4
1,17,1,-1,5,-5,7,2,1,1,0,2817,0.6,2414,17,-5
1,-3,1,-1,4,-4,1,2,1,1,0,2812,0.2,2497,-3,15
0,-7,-1,-1,-5,5,-8,-1,-1,0,0,-3864,-0.6,-2759,-45,-4
1,-2,0,-1,-1,1,1,1,1,0,0,334,0.4,955,3,16
1,-4,2,1,1,-1,-3,1,1,0,0,1909,0.6,2436,50,4
0,-19,0,1,0,0,-1,0,0,0,0,-346,-0.2,-358,27,-23
1,11,-2,1,10,-10,9,-1,-1,0,0,5802,1.4,5396,63,23
1,2,-1,1,2,-2,1,1,1,0,0,1085,0.4,1048,8,-1
0,20,1,1,-7,7,-5,1,1,0,0,-2383,-0.6,-1807,15,-3
1,15,3,-1,-1,1,-1,1,0,1,0,306,0.4,1895,6,12
0,0,-3,1,-2,2,-1,-1,-1,0,0,-1568,-0.4,-1850,-6,-20
1,-22,1,-1,-2,2,-10,0,1,-1,0,-1419,-0.2,-1156,7,4
1,9,4,1,4,-4,3,0,-1,1,0,2263,0.4,1634,9,-8
1,0,0,1,4,-4,7,-1,-1,0,0,1374,0.4,1225,13,-8
1,-48,3,-1,10,-10,17,1,1,0,0,4301,0.8,3444,15,-4
1,-2,-3,1,5,-5,3,0,0,0,0,3905,0.8,3713,39,2
1,-1,0,-1,-5,5,-5,-1,-1,0,0,-2919,-0.4,-2318,-13,-9
1,7,-5,1,6,-6,8,1,1,0,0,2923,0.6,2787,23,11
0,4,-2,-1,-3,3,-6,-2,-1,-1,0,-1059,-0.2,-951,-4,6
0,-2,-1,-1,-2,2,-4,0,-1,1,0,-406,0,-14,35,-4
1,5,1,-1,4,-4,5,1,1,0,0,1143,0,1251,22,-16
1,42,1,-1,2,-2,4,-1,-1,0,0,736,-0.2,266,20,12
0,-2,-1,1,-9,9,-9,-1,-1,0,0,-4816,-0.6,-3750,-63,20
1,-18,-1,-1,5,-5,1,2,1,1,0,3977,1.2,3949,28,25
1,-2,3,-1,4,-4,6,-1,-1,0,0,3026,0.6,3357,43,0
0,6,1,-1,-8,8,-14,1,1,0,0,-4262,-0.4,-2426,-34,11
0,3,-1,1,3,-3,4,0,-1,1,1,2476,0,772,-21,-7
0,-24,0,-1,-6,6,-7,-2,-1,-1,0,-3545,-0.8,-3206,-7,-14
0,-14,0,-1,-5,5,-8,0,-1,1,0,-4324,-0.6,-2979,-40,-6
1,2,1,-1,-1,1,1,1,1,0,0,-496,-0.2,-837,5,17
0,1,1,-1,-2,2,-1,-1,-1,0,0,-1620,-0.4,-1442,15,-24
1,4,-1,1,-4,4,-4,-1,-1,0,0,-1334,-0.4,-1607,3,4
0,21,-5,1,1,-1,-5,0,0,0,0,-796,0.2,-217,-21,-12
1,22,-15,1,4,-4,0,1,1,0,0,1398,0.6,1804,5,-16
1,-1,2,1,2,-2,1,0,0,0,0,3005,0.6,1938,32,31
0,0,0,1,-5,5,-4,0,0,0,0,-3156,-0.4,-3287,-16,-14
1,5,-4,-1,-2,2,-4,2,1,1,0,-473,0.4,383,22,9
0,-8,2,-1,-5,5,-8,-1,0,-1,0,-3397,-0.6,-2282,-29,-13
0,27,-1,-1,-3,3,-7,-1,-1,0,0,-1937,-0.2,-1514,18,-31
1,22,4,1,6,-6,7,0,0,0,0,3765,0.4,2661,25,1
0,-3,-1,1,3,-3,2,0,1,-1,0,384,0,-690,-26,4
1,0,-3,1,6,-6,8,1,1,0,0,2708,0,682,-7,-7
0,-1,4,1,-4,4,-4,0,0,0,0,-2427,-0.2,-1462,-15,-10
1,-30,1,1,3,-3,5,1,1,0,0,1901,0.4,684,34,-23
1,22,-1,-1,5,-5,7,0,1,-1,0,2480,0.4,1699,14,20
0,2,-4,-1,-9,9,-13,0,-1,1,0,-3581,-0.4,-2467,-29,21
1,20,1,1,5,-5,9,2,1,1,0,2911,0.4,1378,-12,3
0,0,-1,-1,-3,3,-2,0,-1,1,0,-1245,-0.2,-1370,-17,-3
0,1,2,-1,2,-2,2,0,1,-1,0,166,-0.2,-497,3,-3
0,-5,5,-1,-5,5,-4,0,0,0,-1,-6309,-0.8,-3115,-101,8
0,-125,0,-1,-6,6,-1,-1,-1,0,0,-2047,-0.8,-2555,6,-17
0,-4,1,1,-1,1,2,-1,-1,0,0,-1464,-0.2,-1509,-25,-7
1,-26,1,1,2,-2,0,2,1,1,0,874,-0.2,-302,2,0
0,-27,2,1,-3,3,-6,1,1,0,0,-627,0,183,7,19
0,4,0,-1,0,0,1,0,0,0,0,-334,0,-292,-24,8
0,3,-1,1,-1,1,-8,1,1,0,0,449,0.2,1210,63,4
0,-7,2,-1,-3,3,-8,0,0,0,0,-780,0,-73,9,17
0,2,2,-1,-2,2,-3,1,0,1,0,-205,0.4,1064,17,33
0,0,4,-1,-1,1,0,0,0,0,0,-1731,-0.2,-1585,-42,4
0,-13,-1,-1,1,-1,-2,1,1,0,0,947,-0.2,-188,25,5
0,-2,0,1,-1,1,5,-1,-1,0,0,-713,0,-1111,8,-13
1,2,-1,1,-1,1,-1,1,1,0,0,1171,-0.4,-1140,16,10
0,-6,-1,1,-2,2,-1,-1,-1,0,0,-459,-0.4,-307,-5,12
1,8,1,1,6,-6,8,-1,-1,0,0,2673,0.6,1388,-7,-20
1,3,1,1,2,-2,7,1,1,0,0,-251,-0.4,-1675,-14,-12
0,14,-2,1,3,-3,3,-2,-1,-1,0,534,0.4,634,-32,-9
0,0,-2,-1,-6,6,-5,1,1,0,0,-4005,-0.8,-2248,-60,13
1,-2,-1,1,-2,2,-4,2,1,1,0,-318,0.2,86,23,20
0,-3,2,1,3,-3,2,0,-1,1,0,2682,0.6,2118,38,9
0,2,3,1,1,-1,3,1,1,0,0,2092,0.6,1763,53,-1
1,2,-2,-1,3,-3,3,0,0,0,0,2300,0.2,2148,41,9
1,-1,-1,1,3,-3,-1,1,1,0,0,2642,0.4,1346,53,-10
1,2,2,1,1,-1,4,-1,-1,0,0,2833,-0.2,220,64,-21
0,0,3,1,0,0,0,-1,-1,0,0,-336,-0.4,-1059,0,-31
0,1,-1,-1,-7,7,-5,1,1,0,-1,-5136,-1,-3713,-75,9
1,1,0,-1,6,-6,0,0,0,0,0,1872,0.8,3579,23,4
0,1,0,-1,-2,2,-4,0,1,-1,-1,-1048,0,-450,-19,16
1,-26,0,-1,-1,1,-7,1,1,0,0,-88,0,-932,20,-2
1,-3,0,-1,-5,5,-1,0,0,0,0,-1427,-0.2,-1008,-19,28
1,3,-3,-1,-3,3,-9,1,0,1,0,-2440,0,-1603,-39,-3
0,9,-1,1,-4,4,-8,-1,-1,0,0,-1614,-0.6,-2256,14,-17
1,-4,3,-1,-3,3,-4,1,1,0,0,-1075,0,73,21,9
1,39,-1,1,-1,1,-8,2,1,1,0,-1799,0,-1304,-6,-4
1,4,3,1,9,-9,8,1,1,0,0,3296,1,3231,0,1
1,-5,1,-1,-3,3,-2,-1,-1,0,0,-1942,0.2,57,-35,20
1,1,2,1,4,-4,7,1,1,0,0,2013,0.2,247,17,-29
1,-8,4,1,4,-4,4,2,1,1,0,3574,0.2,1210,55,7
1,-15,2,1,10,-10,4,0,1,-1,0,6000,1,5033,104,-20
0,7,-3,-1,-4,4,-7,-1,0,-1,0,-3128,-0.6,-2320,-39,-10
1,-3,2,-1,0,0,-1,2,1,1,0,1229,0.2,1059,54,0
0,4,1,1,-5,5,-3,0,-1,1,0,1285,0.4,1300,96,7
0,26,-13,-1,-5,5,-2,-1,-1,0,0,-3274,-0.4,-1385,-62,12
0,-1,2,-1,-3,3,-8,-1,-1,0,0,-1770,0.2,325,21,1
1,35,-2,1,5,-5,10,1,1,0,0,1892,0.2,890,-39,3
0,0,3,1,1,-1,2,0,0,0,0,525,0.2,902,7,0
